titles,videoIds,publishedAt,video_urls
"SENATE PROCEEDINGS, 17TH AUGUST, 2020 SPECIAL SITTING, MORNING SESSION",8n6E7il4lU4,2020-08-17T06:25:40Z,https://www.youtube.com/watch?v=8n6E7il4lU4
"SENATE PROCEEDINGS, 11TH AUGUST 2020",hkYuHZ1ia9U,2020-08-11T10:16:32Z,https://www.youtube.com/watch?v=hkYuHZ1ia9U
"SENATE PROCEEDINGS, 4TH AUGUST 2020",YJU0Ag5Jf6A,2020-08-04T10:43:47Z,https://www.youtube.com/watch?v=YJU0Ag5Jf6A
"Senate Live Proceedings today Tuesday 28th, July, 2020 Afternoon  Sitting",-ZjETx96E-Q,2020-07-28T10:04:50Z,https://www.youtube.com/watch?v=-ZjETx96E-Q
"SENATE PROCEEDINGS, 23RD JULY 2020, SPECIAL SITTING",wIQq3v6s9eQ,2020-07-23T06:30:20Z,https://www.youtube.com/watch?v=wIQq3v6s9eQ
"SENATE PROCEEDINGS, 17th September,  2020",2IBrTHYMVD0,2020-07-23T06:24:22Z,https://www.youtube.com/watch?v=2IBrTHYMVD0
"SENATE PROCEEDINGS, 21ST JULY 2020",jGuFoe3wV9g,2020-07-21T11:20:04Z,https://www.youtube.com/watch?v=jGuFoe3wV9g
"Senate proceedings, 14th July 2020",16dAhLuXFHY,2020-07-14T10:59:40Z,https://www.youtube.com/watch?v=16dAhLuXFHY
"Senate proceedings, 13th July 2020, SPECIAL SITTING",E9xCS0QAsTM,2020-07-13T12:00:11Z,https://www.youtube.com/watch?v=E9xCS0QAsTM
"Senate proceedings, 13th July 2020, SPECIAL SITTING",nwHtfKKEM4Y,2020-07-13T10:44:34Z,https://www.youtube.com/watch?v=nwHtfKKEM4Y
"SENATE PROCEEDINGS, 7TH JULY, 2020",qHeClroJNyM,2020-07-07T10:47:28Z,https://www.youtube.com/watch?v=qHeClroJNyM
"SENATE PROCEEDINGS, 30TH JUNE 2020, SPECIAL SITTING",V75Ei8dp5yA,2020-06-30T10:05:48Z,https://www.youtube.com/watch?v=V75Ei8dp5yA
"SENATE PROCEEDINGS, SPECIAL SITTING, 26TH JUNE 2020 PART 2",Yc0z49hSsvU,2020-06-26T12:09:15Z,https://www.youtube.com/watch?v=Yc0z49hSsvU
"SENATE PROCEEDINGS, SPECIAL SITTING, 26TH JUNE 2020",C_A4ZrZWq3o,2020-06-26T11:00:30Z,https://www.youtube.com/watch?v=C_A4ZrZWq3o
"SENATE PROCEEDINGS, 24TH JUNE 2020",4LJbIw1Yl3k,2020-06-24T10:00:57Z,https://www.youtube.com/watch?v=4LJbIw1Yl3k
"SENATE PROCEEDINGS, 23RD JUNE 2020-- AFTERNOON SESSION",vcAxlVHZCKY,2020-06-23T10:53:42Z,https://www.youtube.com/watch?v=vcAxlVHZCKY
"SENATE PROCEEDINGS, 23RD JUNE 2020",rZBgV7TOJzw,2020-06-23T06:43:26Z,https://www.youtube.com/watch?v=rZBgV7TOJzw
"SENATE PROCEEDINGS, 16TH JUNE 2020",5rzM3DWYkmw,2020-06-16T11:19:35Z,https://www.youtube.com/watch?v=5rzM3DWYkmw
"SENATE PROCEEDINGS, 9TH JUNE 2020",rrt5H5POyT0,2020-06-09T10:45:17Z,https://www.youtube.com/watch?v=rrt5H5POyT0
"Senate Proceedings, 02nd June 2020- afternoon session",NE8VNQ8XrwU,2020-06-02T11:21:17Z,https://www.youtube.com/watch?v=NE8VNQ8XrwU
"Senate Proceedings, 02nd 2020 morning session",15n1D7hn_xI,2020-06-02T07:16:27Z,https://www.youtube.com/watch?v=15n1D7hn_xI
"SENATE PROCEEDINGS, 2ND JUNE 2020- MORNING SESSION",XLOXR-5Rda0,2020-06-02T06:50:51Z,https://www.youtube.com/watch?v=XLOXR-5Rda0
"SENATE PROCEEDINGS, 26TH MAY 2020-AFTERNOON SESSION",FJWyu-R5KwM,2020-05-26T11:15:46Z,https://www.youtube.com/watch?v=FJWyu-R5KwM
"SENATE PROCEEDINGS, 26TH MAY 2020- MORNING SESSION",onrTk6tS4kI,2020-05-26T06:43:07Z,https://www.youtube.com/watch?v=onrTk6tS4kI
"SENATE PROCEEDINGS, 22ND MAY 2020, SPECIAL SITTING",0KCmzxLDNn8,2020-05-22T10:28:31Z,https://www.youtube.com/watch?v=0KCmzxLDNn8
"Senate Live Proceedings 19th May , 2020 Afternoon sitting",hOLPs1LK2zY,2020-05-19T12:30:43Z,https://www.youtube.com/watch?v=hOLPs1LK2zY
